Age,Gender,Monthly Income (AED),Highest Education,Nationality,Purchase Frequency,Monthly Skincare Spend (AED),Brand Preference,Purchase Influencing Factors,Platforms Used,Most Trusted Platform,Influencer Count,Main Influencer Tier Followed,Influencer Content Type Considered,Purchased After Influencer Recommendation,Likelihood to Try Influencer Brand,Willingness to Pay Extra,Main Challenge,Influencer Marketing Effectiveness,Most Influential Ad Format,Purchase Time After Influencer,Online Community Member,Would Recommend Based on Influencer,Biggest Influencer Marketing Turn-off,Preferred Discovery Channel
34,Male,"10,000–19,999",Other,Expat – Asian,Every 2–3 months,250–499,Organic/Natural,"Online reviews, Friends/Family recommendations","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories",No,Neutral,No increase,Products are expensive,Not effective at all,Long video (YouTube/TikTok),Within a month,Yes,Yes,None,Social media/influencers
35,Female,"10,000–19,999",Master’s Degree,Expat – Arab,Rarely,100–249,Korean,"Brand reputation, Price",None,None,None,Micro (10k–100k),Instagram Reels,No,Neutral,1–10% more,Products are expensive,Somewhat effective,Reel,Within a week,No,No,Repetitive ads,Social media/influencers
27,Female,"5,000–9,999",High School,Emirati,Monthly,Less than 100,Drugstore,"Price, Product ingredients","YouTube, TikTok",YouTube,1–3,Celebrity (10M+),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos",No,Very likely,No increase,Products are expensive,Not effective at all,Story,Never,Yes,Yes,Repetitive ads,Online search
30,Male,"10,000–19,999",Master’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Korean,"Friends/Family recommendations, Price","Instagram, YouTube",YouTube,1–3,Mega (1M–10M),Instagram Posts,No,Very likely,1–10% more,Products are expensive,Highly effective,Standard post,Never,No,No,Unrelatable content,Advertisements
39,Female,"5,000–9,999",Bachelor’s Degree,Expat – Western,Monthly,100–249,Korean,"Friends/Family recommendations, Product ingredients","Instagram, YouTube, TikTok",YouTube,1–3,Macro (100k–1M),Instagram Reels,No,Neutral,26–50% more,Too many options,Somewhat effective,Reel,Within a month,No,No,Repetitive ads,Social media/influencers
43,Female,"10,000–19,999",High School,Expat – Asian,Monthly,100–249,Premium,"Online reviews, Product ingredients","YouTube, Facebook",YouTube,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels, TikTok Videos",Yes,Very likely,11–25% more,Hard to find in Dubai,Highly effective,Long video (YouTube/TikTok),Immediately,No,Yes,None,Social media/influencers
57,Male,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Every 2–3 months,100–249,Drugstore,"Brand reputation, Price","Instagram, TikTok, Facebook",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels",No,Neutral,No increase,Not sure what works for me,Somewhat effective,Long video (YouTube/TikTok),Within a week,Yes,No,Unrelatable content,Social media/influencers
36,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Premium,"Product ingredients, Price",TikTok,TikTok,8 or more,Macro (100k–1M),"Instagram Posts, Instagram Reels, YouTube Videos",No,Neutral,No increase,Hard to find in Dubai,Neutral,Reel,Within a week,No,No,Lack of authenticity,Social media/influencers
26,Female,"Less than 5,000",Master’s Degree,Expat – Asian,Monthly,Less than 100,Organic/Natural,"Price, Online reviews","Instagram, YouTube, Snapchat",Instagram,1–3,Not sure,"Instagram Posts, Instagram Stories, Instagram Reels",No,Very likely,No increase,Not sure what works for me,Somewhat effective,Story,Within a month,No,No,Lack of authenticity,In-store
45,Male,"10,000–19,999",Bachelor’s Degree,Emirati,Monthly,100–249,Premium,"Social media influencers, Online reviews","YouTube, TikTok",YouTube,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Neutral,No increase,Not sure what works for me,Not very effective,Reel,Within a week,No,Yes,Unrelatable content,Social media/influencers
42,Male,"20,000–29,999",Master’s Degree,Expat – Arab,Monthly,Less than 100,Organic/Natural,"Brand reputation, Price","YouTube, TikTok",YouTube,4–7,Macro (100k–1M),"Instagram Posts, Instagram Reels, TikTok Videos",Yes,Likely,No increase,Products are expensive,Somewhat effective,Reel,Within a month,No,Yes,Over-promotion,Social media/influencers
47,Female,"5,000–9,999",High School,Expat – Asian,Every 2–3 months,Less than 100,Premium,"Price, Online reviews","Instagram, YouTube, TikTok",Instagram,1–3,Mega (1M–10M),YouTube Videos,No,Likely,1–10% more,Not enough trusted reviews,Somewhat effective,Story,Within a month,No,No,Repetitive ads,Advertisements
31,Female,"10,000–19,999",Bachelor’s Degree,Expat – Arab,Monthly,250–499,Drugstore,"Product ingredients, Online reviews","Instagram, YouTube",Instagram,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels, TikTok Videos",No,Likely,1–10% more,Not sure what works for me,Neutral,Reel,Never,No,No,Unrelatable content,In-store
32,Female,"10,000–19,999",Bachelor’s Degree,Expat – Western,Rarely,500–999,Korean,"Brand reputation, Friends/Family recommendations","Instagram, TikTok",YouTube,None,Micro (10k–100k),"Instagram Stories, Instagram Reels, TikTok Videos",No,Unlikely,11–25% more,Products are expensive,Highly effective,Reel,Never,Yes,No,Unrelatable content,Social media/influencers
31,Female,"30,000 or more",Bachelor’s Degree,Expat – Arab,Weekly,500–999,Korean,"Online reviews, Friends/Family recommendations","Instagram, Facebook",Instagram,1–3,Macro (100k–1M),Instagram Reels,No,Likely,No increase,Not enough trusted reviews,Neutral,Long video (YouTube/TikTok),Within a month,No,No,Lack of authenticity,In-store
62,Male,"20,000–29,999",High School,Expat – Asian,Monthly,250–499,Drugstore,"Product ingredients, Social media influencers","Instagram, TikTok",Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels",No,Neutral,No increase,Not sure what works for me,Somewhat effective,Long video (YouTube/TikTok),Within a month,No,No,Over-promotion,In-store
68,Male,"10,000–19,999",High School,Expat – Arab,Monthly,Less than 100,Drugstore,"Online reviews, Social media influencers",Instagram,Instagram,None,Micro (10k–100k),"Instagram Stories, Instagram Reels",Yes,Very likely,No increase,Not enough trusted reviews,Somewhat effective,Standard post,Within a week,No,Yes,Over-promotion,Social media/influencers
32,Female,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Monthly,500–999,Drugstore,"Social media influencers, Online reviews",None,None,4–7,Macro (100k–1M),"Instagram Reels, YouTube Videos",No,Very likely,No increase,Not sure what works for me,Somewhat effective,Standard post,Within a week,No,No,Unrelatable content,Online search
32,Male,"20,000–29,999",Bachelor’s Degree,Emirati,Monthly,Less than 100,Drugstore,"Price, Product ingredients","Instagram, YouTube, TikTok",Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos, TikTok Videos",No,Very likely,No increase,Products are expensive,Not very effective,Long video (YouTube/TikTok),Never,No,Yes,Over-promotion,Social media/influencers
50,Male,"5,000–9,999",Bachelor’s Degree,Emirati,Every 2–3 months,500–999,Premium,"Product ingredients, Friends/Family recommendations",Instagram,YouTube,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels, TikTok Videos",No,Neutral,No increase,Too many options,Somewhat effective,Long video (YouTube/TikTok),Within a month,No,Yes,None,Social media/influencers
71,Female,"5,000–9,999",Bachelor’s Degree,Expat – Western,Every 2–3 months,100–249,No preference,"Online reviews, Brand reputation","Instagram, YouTube, TikTok",YouTube,1–3,Celebrity (10M+),Instagram Posts,Yes,Likely,1–10% more,Not enough trusted reviews,Neutral,Story,Within a week,No,Yes,Unrelatable content,Online search
78,Non-binary,"Less than 5,000",Master’s Degree,Expat – Arab,Rarely,Less than 100,Korean,"Social media influencers, Brand reputation","Instagram, TikTok, Snapchat",YouTube,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories",Yes,Very likely,26–50% more,Not sure what works for me,Neutral,Reel,Within a month,No,No,Unrelatable content,Social media/influencers
31,Female,"20,000–29,999",Master’s Degree,Expat – Western,Every 2–3 months,"1,000 or more",Korean,"Price, Friends/Family recommendations","Instagram, YouTube, TikTok",YouTube,1–3,Micro (10k–100k),Instagram Reels,No,Neutral,1–10% more,Not sure what works for me,Somewhat effective,Long video (YouTube/TikTok),Never,Yes,No,Repetitive ads,In-store
34,Female,"20,000–29,999",Bachelor’s Degree,Other,Every 2–3 months,Less than 100,Premium,"Brand reputation, Price","Instagram, YouTube, TikTok",Instagram,4–7,Micro (10k–100k),Instagram Reels,No,Very likely,11–25% more,Not enough trusted reviews,Not very effective,Long video (YouTube/TikTok),Within a week,No,No,None,Friends/Family
44,Male,"Less than 5,000",Bachelor’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Premium,"Product ingredients, Friends/Family recommendations","Instagram, YouTube",YouTube,4–7,Micro (10k–100k),"Instagram Stories, YouTube Videos",No,Likely,No increase,Not enough trusted reviews,Somewhat effective,Long video (YouTube/TikTok),Within a week,No,No,Lack of authenticity,In-store
44,Non-binary,"10,000–19,999",High School,Expat – Arab,Every 2–3 months,100–249,Drugstore,"Online reviews, Product ingredients",Instagram,Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels, YouTube Videos",Yes,Likely,26–50% more,Hard to find in Dubai,Highly effective,Story,Never,No,Yes,Repetitive ads,In-store
37,Male,"10,000–19,999",Doctorate,Expat – Asian,Monthly,Less than 100,Korean,"Online reviews, Social media influencers","Instagram, YouTube, TikTok",Instagram,1–3,Micro (10k–100k),"Instagram Posts, TikTok Videos",Yes,Likely,No increase,Products are expensive,Somewhat effective,Reel,Within a month,No,Yes,Lack of authenticity,Social media/influencers
29,Female,"Less than 5,000",High School,Other,Monthly,Less than 100,Korean,"Product ingredients, Friends/Family recommendations","Instagram, TikTok",YouTube,4–7,Macro (100k–1M),"Instagram Stories, TikTok Videos",Yes,Neutral,No increase,Products are expensive,Somewhat effective,Standard post,Within a month,No,Yes,Over-promotion,Advertisements
39,Prefer not to say,"30,000 or more",Bachelor’s Degree,Expat – Western,Monthly,500–999,Drugstore,"Brand reputation, Friends/Family recommendations","Instagram, TikTok",TikTok,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories",No,Likely,No increase,Not enough trusted reviews,Somewhat effective,Long video (YouTube/TikTok),Within a week,No,No,Lack of authenticity,Friends/Family
78,Female,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Monthly,100–249,Organic/Natural,"Price, Product ingredients","Instagram, Snapchat",YouTube,None,Macro (100k–1M),Instagram Posts,No,Likely,No increase,Not sure what works for me,Somewhat effective,Standard post,Never,No,No,Unrelatable content,Online search
32,Non-binary,"Less than 5,000",Bachelor’s Degree,Expat – Asian,Monthly,Less than 100,Korean,"Friends/Family recommendations, Brand reputation","Instagram, YouTube",YouTube,None,Mega (1M–10M),"Instagram Reels, YouTube Videos",No,Unlikely,1–10% more,Too many options,Highly effective,Reel,After a long time,No,No,Over-promotion,Online search
43,Female,"10,000–19,999",High School,Expat – Arab,Rarely,500–999,Premium,"Brand reputation, Online reviews","Instagram, TikTok",TikTok,8 or more,Mega (1M–10M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Unlikely,More than 50% more,Not sure what works for me,Neutral,Reel,Within a month,No,Yes,Unrelatable content,Social media/influencers
102,Male,"10,000–19,999",Master’s Degree,Other,Monthly,Less than 100,Drugstore,"Online reviews, Friends/Family recommendations",None,None,1–3,Macro (100k–1M),Instagram Stories,No,Unlikely,11–25% more,Products are expensive,Somewhat effective,Reel,Immediately,Yes,No,Unrelatable content,Friends/Family
32,Female,"Less than 5,000",High School,Other,Weekly,Less than 100,Korean,"Price, Online reviews","Instagram, YouTube",Instagram,4–7,Micro (10k–100k),"Instagram Stories, YouTube Videos",Yes,Unlikely,No increase,Not sure what works for me,Neutral,Reel,Within a month,Yes,Yes,Unrelatable content,Social media/influencers
51,Female,"10,000–19,999",Bachelor’s Degree,Expat – Arab,Monthly,100–249,Organic/Natural,"Product ingredients, Price",TikTok,TikTok,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels",Yes,Neutral,1–10% more,Not sure what works for me,Somewhat effective,Standard post,Within a week,Yes,Yes,Lack of authenticity,Social media/influencers
79,Male,"10,000–19,999",High School,Expat – Arab,Weekly,Less than 100,Premium,"Online reviews, Social media influencers","Instagram, TikTok",TikTok,1–3,Micro (10k–100k),Instagram Reels,Yes,Neutral,1–10% more,Not sure what works for me,Neutral,Reel,Within a week,Yes,No,Repetitive ads,In-store
49,Female,"Less than 5,000",High School,Emirati,Monthly,Less than 100,Drugstore,"Friends/Family recommendations, Social media influencers","Instagram, TikTok",Instagram,1–3,Micro (10k–100k),Instagram Posts,No,Likely,11–25% more,Not sure what works for me,Highly effective,Story,Within a month,No,No,Over-promotion,In-store
60,Non-binary,"5,000–9,999",Master’s Degree,Expat – Arab,Monthly,500–999,Korean,"Online reviews, Brand reputation","Instagram, TikTok, Snapchat, Facebook",YouTube,None,Mega (1M–10M),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos",No,Unlikely,11–25% more,Too many options,Somewhat effective,Story,Within a week,No,No,Over-promotion,Social media/influencers
54,Male,"10,000–19,999",High School,Expat – Western,Monthly,100–249,Drugstore,"Brand reputation, Social media influencers","TikTok, Facebook",TikTok,4–7,Micro (10k–100k),"Instagram Posts, Instagram Reels, TikTok Videos",Yes,Likely,1–10% more,Not enough trusted reviews,Somewhat effective,Long video (YouTube/TikTok),Never,Yes,Yes,None,In-store
48,Female,"5,000–9,999",Master’s Degree,Expat – Arab,Monthly,Less than 100,Korean,"Price, Product ingredients","Instagram, TikTok",YouTube,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels, YouTube Videos",No,Very likely,1–10% more,Not sure what works for me,Somewhat effective,Reel,Immediately,No,No,Lack of authenticity,Online search
67,Female,"30,000 or more",Bachelor’s Degree,Emirati,Every 2–3 months,100–249,Korean,"Product ingredients, Online reviews","Instagram, Facebook",Instagram,1–3,Mega (1M–10M),"Instagram Posts, Instagram Reels",No,Unlikely,11–25% more,Not enough trusted reviews,Somewhat effective,Reel,Within a month,No,Yes,Over-promotion,Online search
50,Female,"20,000–29,999",High School,Expat – Arab,Every 2–3 months,500–999,Drugstore,"Online reviews, Social media influencers","Instagram, YouTube, TikTok",YouTube,1–3,Celebrity (10M+),Instagram Reels,Yes,Neutral,No increase,Not enough trusted reviews,Neutral,Reel,Within a week,No,Yes,Unrelatable content,Social media/influencers
37,Non-binary,"30,000 or more",Doctorate,Other,Monthly,"1,000 or more",Drugstore,"Online reviews, Price","Instagram, YouTube, TikTok",Instagram,None,Micro (10k–100k),"YouTube Videos, TikTok Videos",No,Unlikely,No increase,Products are expensive,Not very effective,Reel,Within a month,Yes,No,Lack of authenticity,In-store
41,Female,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Monthly,Less than 100,Korean,"Price, Friends/Family recommendations",Instagram,TikTok,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels",No,Very likely,1–10% more,Products are expensive,Neutral,Reel,Immediately,Yes,No,Over-promotion,Social media/influencers
45,Non-binary,"30,000 or more",Master’s Degree,Expat – Arab,Monthly,Less than 100,Premium,"Product ingredients, Brand reputation","Instagram, YouTube, TikTok, Snapchat",Instagram,None,Macro (100k–1M),"Instagram Posts, Instagram Reels, YouTube Videos",Yes,Likely,11–25% more,Products are expensive,Highly effective,Reel,Within a month,No,Yes,Repetitive ads,Advertisements
34,Female,"5,000–9,999",High School,Expat – Arab,Every 2–3 months,Less than 100,Drugstore,"Social media influencers, Brand reputation","Instagram, YouTube, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Posts, TikTok Videos",Yes,Likely,1–10% more,Not enough trusted reviews,Somewhat effective,Long video (YouTube/TikTok),After a long time,No,No,Lack of authenticity,In-store
42,Male,"5,000–9,999",Master’s Degree,Other,Weekly,Less than 100,Organic/Natural,"Online reviews, Social media influencers",Instagram,Instagram,8 or more,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Likely,More than 50% more,Not sure what works for me,Not very effective,Story,Never,Yes,Yes,Over-promotion,Social media/influencers
40,Female,"Less than 5,000",High School,Expat – Western,Weekly,Less than 100,Premium,"Price, Product ingredients","YouTube, TikTok, Snapchat",YouTube,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories",Yes,Very likely,No increase,Hard to find in Dubai,Somewhat effective,Reel,Within a month,No,No,Unrelatable content,Friends/Family
50,Female,"Less than 5,000",Bachelor’s Degree,Expat – Arab,Every 2–3 months,Less than 100,Korean,"Friends/Family recommendations, Online reviews","Instagram, TikTok, Snapchat",Instagram,4–7,Not sure,"Instagram Reels, TikTok Videos",No,Likely,1–10% more,Too many options,Not effective at all,Long video (YouTube/TikTok),Within a week,No,No,Unrelatable content,Online search
89,Male,"10,000–19,999",Master’s Degree,Emirati,Monthly,Less than 100,Drugstore,"Price, Friends/Family recommendations","Instagram, YouTube",Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels, YouTube Videos",No,Very likely,No increase,Too many options,Somewhat effective,Story,Immediately,No,No,Repetitive ads,In-store
43,Female,"10,000–19,999",Doctorate,Emirati,Monthly,100–249,Korean,"Friends/Family recommendations, Price","Instagram, YouTube",Instagram,1–3,Celebrity (10M+),"Instagram Stories, Instagram Reels, YouTube Videos",No,Likely,26–50% more,Not sure what works for me,Not effective at all,Story,Within a month,No,No,Repetitive ads,In-store
72,Female,"5,000–9,999",Master’s Degree,Expat – Arab,Monthly,Less than 100,Premium,"Online reviews, Brand reputation","Instagram, YouTube, TikTok, Snapchat",Instagram,1–3,Not sure,"YouTube Videos, TikTok Videos",No,Neutral,No increase,Not enough trusted reviews,Not very effective,Long video (YouTube/TikTok),Within a week,No,No,Over-promotion,Social media/influencers
49,Male,"10,000–19,999",Master’s Degree,Expat – Asian,Rarely,500–999,No preference,"Price, Product ingredients","Instagram, TikTok",Instagram,4–7,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, TikTok Videos",Yes,Unlikely,1–10% more,Too many options,Neutral,Standard post,Within a month,No,Yes,Unrelatable content,Social media/influencers
42,Female,"5,000–9,999",Master’s Degree,Expat – Western,Every 2–3 months,250–499,Korean,"Price, Friends/Family recommendations","Instagram, TikTok",Instagram,None,Macro (100k–1M),"Instagram Reels, YouTube Videos",No,Very likely,No increase,Products are expensive,Highly effective,Story,Never,No,No,Repetitive ads,Online search
33,Female,"10,000–19,999",High School,Expat – Asian,Every 2–3 months,100–249,Drugstore,"Product ingredients, Brand reputation","Instagram, YouTube, TikTok, Snapchat",TikTok,4–7,Micro (10k–100k),Instagram Stories,Yes,Neutral,1–10% more,Not enough trusted reviews,Somewhat effective,Reel,After a long time,No,Yes,Lack of authenticity,Friends/Family
42,Female,"5,000–9,999",Bachelor’s Degree,Expat – Western,Monthly,Less than 100,Premium,"Price, Brand reputation","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",No,Very likely,11–25% more,Not enough trusted reviews,Not very effective,Standard post,After a long time,No,No,None,Social media/influencers
41,Male,"20,000–29,999",Bachelor’s Degree,Expat – Asian,Monthly,250–499,Premium,"Product ingredients, Online reviews","Instagram, TikTok",Instagram,None,Mega (1M–10M),"Instagram Stories, Instagram Reels, TikTok Videos",No,Very likely,No increase,Not sure what works for me,Not very effective,Long video (YouTube/TikTok),After a long time,No,No,Repetitive ads,Online search
30,Male,"20,000–29,999",Bachelor’s Degree,Expat – Asian,Rarely,250–499,Korean,"Brand reputation, Social media influencers",Instagram,Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels, YouTube Videos, TikTok Videos",Yes,Neutral,11–25% more,Not enough trusted reviews,Highly effective,Story,Within a month,No,Yes,Lack of authenticity,Social media/influencers
32,Male,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Rarely,250–499,Organic/Natural,"Friends/Family recommendations, Brand reputation","TikTok, Snapchat",TikTok,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels, TikTok Videos",No,Neutral,26–50% more,Too many options,Somewhat effective,Story,After a long time,No,No,Unrelatable content,Online search
45,Female,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Monthly,100–249,Korean,"Price, Brand reputation","Instagram, TikTok, Snapchat, Facebook",Instagram,1–3,Mega (1M–10M),"Instagram Posts, Instagram Reels, TikTok Videos",No,Unlikely,No increase,Too many options,Not very effective,Long video (YouTube/TikTok),Within a week,No,No,Unrelatable content,Social media/influencers
71,Male,"5,000–9,999",High School,Expat – Arab,Every 2–3 months,250–499,Drugstore,"Social media influencers, Brand reputation","Instagram, YouTube",YouTube,4–7,Micro (10k–100k),"Instagram Stories, Instagram Reels",Yes,Likely,11–25% more,Not sure what works for me,Somewhat effective,Story,Never,No,No,Over-promotion,In-store
38,Female,"20,000–29,999",Master’s Degree,Expat – Asian,Monthly,"1,000 or more",Korean,"Online reviews, Price","Instagram, TikTok",Instagram,4–7,Micro (10k–100k),Instagram Reels,Yes,Unlikely,No increase,Products are expensive,Not very effective,Reel,Within a week,No,Yes,Repetitive ads,Social media/influencers
24,Male,"5,000–9,999",High School,Emirati,Monthly,Less than 100,Drugstore,"Online reviews, Social media influencers",TikTok,TikTok,4–7,Micro (10k–100k),Instagram Posts,Yes,Very likely,No increase,Not enough trusted reviews,Not very effective,Long video (YouTube/TikTok),Within a month,No,Yes,Unrelatable content,Online search
20,Male,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,100–249,Organic/Natural,"Friends/Family recommendations, Product ingredients",Instagram,Instagram,4–7,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",No,Likely,1–10% more,Not enough trusted reviews,Not very effective,Long video (YouTube/TikTok),Within a week,Yes,No,Unrelatable content,Social media/influencers
27,Female,"Less than 5,000",Bachelor’s Degree,Expat – Asian,Monthly,Less than 100,Korean,"Online reviews, Social media influencers","Instagram, YouTube",Instagram,8 or more,Not sure,"Instagram Stories, Instagram Reels, TikTok Videos",No,Very likely,1–10% more,Not enough trusted reviews,Highly effective,Long video (YouTube/TikTok),Within a week,No,No,Lack of authenticity,Online search
51,Female,"10,000–19,999",Master’s Degree,Other,Rarely,Less than 100,Premium,"Product ingredients, Price","Instagram, TikTok",YouTube,8 or more,Mega (1M–10M),"Instagram Posts, Instagram Stories",No,Unlikely,1–10% more,Not enough trusted reviews,Highly effective,Standard post,Within a month,No,No,Over-promotion,Social media/influencers
25,Male,"10,000–19,999",Master’s Degree,Expat – Asian,Weekly,100–249,Premium,"Product ingredients, Friends/Family recommendations","Instagram, TikTok",YouTube,None,Macro (100k–1M),"Instagram Stories, YouTube Videos",No,Very likely,No increase,Not sure what works for me,Highly effective,Standard post,Within a week,No,No,Over-promotion,In-store
55,Female,"20,000–29,999",Bachelor’s Degree,Expat – Western,Monthly,100–249,Organic/Natural,"Online reviews, Friends/Family recommendations","Instagram, YouTube, TikTok, Snapchat",Instagram,1–3,Macro (100k–1M),Instagram Posts,No,Very likely,26–50% more,Too many options,Not very effective,Story,Within a month,No,No,Repetitive ads,Online search
50,Male,"5,000–9,999",High School,Expat – Arab,Rarely,250–499,Organic/Natural,"Product ingredients, Online reviews","Instagram, YouTube, TikTok",Instagram,None,Micro (10k–100k),"Instagram Posts, Instagram Stories",No,Neutral,11–25% more,Hard to find in Dubai,Somewhat effective,Standard post,Within a month,Yes,No,Unrelatable content,Online search
38,Female,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Every 2–3 months,Less than 100,Premium,"Brand reputation, Social media influencers",Instagram,Instagram,1–3,Micro (10k–100k),Instagram Posts,No,Very likely,No increase,Not enough trusted reviews,Highly effective,Reel,Within a month,No,No,Lack of authenticity,In-store
30,Female,"20,000–29,999",High School,Expat – Asian,Monthly,250–499,Premium,"Friends/Family recommendations, Price","Instagram, YouTube, TikTok, Snapchat",YouTube,8 or more,Macro (100k–1M),"Instagram Stories, Instagram Reels, YouTube Videos, TikTok Videos",Yes,Very likely,1–10% more,Products are expensive,Somewhat effective,Story,Within a week,No,Yes,Lack of authenticity,Social media/influencers
36,Male,"20,000–29,999",Bachelor’s Degree,Expat – Western,Monthly,250–499,Korean,"Price, Brand reputation","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",No,Very likely,No increase,Not sure what works for me,Somewhat effective,Reel,Within a month,No,No,Over-promotion,Advertisements
45,Male,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,100–249,Drugstore,"Social media influencers, Price","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),"Instagram Stories, Instagram Reels, YouTube Videos",No,Very likely,No increase,Products are expensive,Neutral,Story,After a long time,Yes,No,Repetitive ads,Friends/Family
25,Female,"10,000–19,999",High School,Expat – Asian,Monthly,100–249,Drugstore,"Social media influencers, Online reviews","Instagram, TikTok",Instagram,1–3,Not sure,"Instagram Posts, Instagram Stories",Yes,Neutral,1–10% more,Not enough trusted reviews,Neutral,Reel,Within a week,No,Yes,Repetitive ads,Friends/Family
68,Female,"5,000–9,999",Bachelor’s Degree,Expat – Asian,Rarely,250–499,Drugstore,"Product ingredients, Friends/Family recommendations",Instagram,Instagram,None,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Neutral,1–10% more,Too many options,Neutral,Story,Within a month,No,Yes,Over-promotion,In-store
45,Prefer not to say,"30,000 or more",Doctorate,Expat – Arab,Rarely,500–999,Drugstore,"Product ingredients, Social media influencers","Instagram, TikTok, Facebook",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Very likely,No increase,Hard to find in Dubai,Highly effective,Story,Within a month,No,Yes,Lack of authenticity,In-store
47,Male,"Less than 5,000",Doctorate,Expat – Arab,Monthly,Less than 100,Korean,"Friends/Family recommendations, Online reviews","Instagram, YouTube, TikTok",Instagram,1–3,Micro (10k–100k),"Instagram Stories, Instagram Reels",No,Very likely,11–25% more,Not sure what works for me,Not very effective,Reel,After a long time,No,No,Lack of authenticity,Social media/influencers
50,Female,"30,000 or more",Bachelor’s Degree,Emirati,Monthly,100–249,No preference,"Social media influencers, Friends/Family recommendations",None,None,1–3,Not sure,"Instagram Reels, TikTok Videos",Yes,Unlikely,No increase,Too many options,Somewhat effective,Reel,Within a month,Yes,Yes,Lack of authenticity,Advertisements
65,Male,"10,000–19,999",High School,Emirati,Weekly,100–249,Korean,"Friends/Family recommendations, Product ingredients",TikTok,TikTok,1–3,Mega (1M–10M),Instagram Stories,No,Likely,1–10% more,Too many options,Neutral,Long video (YouTube/TikTok),Within a week,No,No,Repetitive ads,Social media/influencers
42,Female,"10,000–19,999",High School,Expat – Western,Every 2–3 months,250–499,Drugstore,"Product ingredients, Social media influencers","Instagram, YouTube, TikTok",Instagram,1–3,Mega (1M–10M),YouTube Videos,Yes,Neutral,No increase,Products are expensive,Highly effective,Long video (YouTube/TikTok),After a long time,No,Yes,Lack of authenticity,Social media/influencers
51,Female,"Less than 5,000",Bachelor’s Degree,Expat – Arab,Monthly,Less than 100,Korean,"Online reviews, Product ingredients","Instagram, YouTube, TikTok",Instagram,1–3,Macro (100k–1M),Instagram Stories,No,Likely,1–10% more,Products are expensive,Highly effective,Reel,After a long time,No,No,Over-promotion,In-store
31,Female,"10,000–19,999",Doctorate,Expat – Arab,Monthly,250–499,Korean,"Online reviews, Friends/Family recommendations",Instagram,Instagram,None,Macro (100k–1M),"Instagram Posts, Instagram Reels",No,Very likely,No increase,Products are expensive,Highly effective,Reel,After a long time,No,No,Unrelatable content,In-store
78,Female,"5,000–9,999",High School,Expat – Asian,Monthly,100–249,Drugstore,"Price, Brand reputation","Instagram, YouTube, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos, TikTok Videos",No,Very unlikely,1–10% more,Hard to find in Dubai,Somewhat effective,Standard post,Within a month,No,No,None,Social media/influencers
